row_number,reasons,CALL_NO,CALL_TYPE,Priority,UNIT,LOCATION_ADDRESS,BEAT,Created Date,Time,Closed Date
1006,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
1044,'LOCATION_ADDRESS' garbled/scrambled text,151350543 TRAFFIC STOP-S,,5,2M12,"CRESTSIDE DR/CRESTSIDE CT, SPK",S2,05/15/2015,152953 160020,05/15/2015
1051,"'BEAT' expected text, has number; 'LOCATION_ADDRESS' garbled/scrambled text",151360904 TRAFFIC STOP-S,,5,1N32,"N MCCARRAN BL/WEDEKIND RD, SPKS",1,05/16/2015,233704 234554,05/16/2015
1053,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
1054,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
1058,"'BEAT' expected text, has number",151370681 TRAFFIC STOP,,1,C358,"PRATER WY/EB I80, SPK",55,05/17/2015,182323 183325,05/17/2015
1101,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
1102,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
1149,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
1150,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
1191,"'BEAT' expected text, has number",151410186 TRAFFIC STOP-S,,5,2M14,"WEDEKIND RD/N MCCARRAN BL, SPKS",1,05/21/2015,082812 083517,05/21/2015
1197,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
1198,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
1245,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
1246,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
1266,"'BEAT' expected text, has number",151440135 WELFARE CHECK,,1,,"3230 WEDEKIND RD #6, SPK",53,05/24/2015,031857 034405,05/24/2015
1293,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
1294,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
1299,"'BEAT' expected text, has number",151450783 TRAFFIC STOP,,1,N347,"2450 ODDIE BL, SPK",48,05/25/2015,195045 195723,05/25/2015
1341,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
1342,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
1345,"'BEAT' expected text, has number",151470293 ASSIGNMENT-S,,5,6I42,"HOWARD DR/WILLIAM MORBY DR, SPS",6,05/27/2015,105236 121612,05/27/2015
1346,"'BEAT' expected text, has number",151470293 ASSIGNMENT-S,,5,6I42,"HOWARD DR/WILLIAM MORBY DR, SPS",6,05/27/2015,105236 121612,05/27/2015
1347,"'BEAT' expected text, has number",151470293 ASSIGNMENT-S,,5,6I42,"HOWARD DR/WILLIAM MORBY DR, SPS",6,05/27/2015,105236 121612,05/27/2015
1389,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
1390,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
1437,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
1438,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
1485,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
