call_id,actdate,acttime,streetnbr,street,geox,geoy,naturecode
P170170885,10/23/2017 0:00,0649,10871,NE MANITOU PARK BLVD,122960855,24581121,PC4
P170170894,10/23/2017 0:00,0712,,"XY(122551216,23644809)",122551216,23644809,PC4
P170168868,10/19/2017 0:00,0139,625,WINSLOW WAY E,122607645,23236096,MISC3
P170168907,10/19/2017 0:00,0609,,SPORTSMAN CLUB RD NE / STATE HWY 305 NE,122395381,24298435,TRAFF3
P170165535,10/13/2017 0:00,0824,6615,NE MARSHALL RD,121386943,23226246,CIVIL3
P170163149,10/8/2017 0:00,2223,10039,NE SOUTH BEACH DR,122483745,21407043,BURGL4
P170163191,10/9/2017 0:00,0003,16262,REITAN RD NE,121502493,26374109,PC4
P170165546,10/13/2017 0:00,0907,9330,NE HIGH SCHOOL RD,122364045,23666097,THREA4
P170163230,10/9/2017 0:00,0247,456,WINSLOW WAY E,122543181,23246078,PC4
P170163340,10/9/2017 0:00,1039,5769,NE TOLO RD,121108492,24455849,UNWAN3
P170167998,10/17/2017 0:00,1522,,NE NEW BROOKLYN RD / SPORTSMAN CLUB RD NE,122235619,23919372,RECKL3
P170170298,10/21/2017 0:00,2131,9910,SANDS AVE NE,121956094,24321599,SUSPI3
P170170394,10/22/2017 0:00,0215,9466,NE HIGH SCHOOL RD,122386491,23649413,PC4
P170170420,10/22/2017 0:00,0453,9188,SPORTSMAN CLUB RD NE,122318923,24086087,PC4
P170170467,10/22/2017 0:00,0912,,FLETCHER BAY RD NE / NE NEW BROOKLYN RD,121365993,23936591,T
P170170517,10/22/2017 0:00,1121,,BLAKELY AVE NE / NE ODD FELLOWS RD,122237627,22290566,PC4
P170141276,8/31/2017 0:00,1809,,AGATEWOOD RD NE / STATE HWY 305 NE,121562268,26138373,T
P170141529,9/1/2017 0:00,0518,14399,SILVEN AVE NE,121404543,25780552,BRUSH
P170141633,9/1/2017 0:00,1009,,NE DAY RD E / STATE HWY 305 NE,122023646,25247430,T
P170141752,9/1/2017 0:00,1337,,NE DAY RD E / STATE HWY 305 NE,122023646,25247430,T
P170144539,9/6/2017 0:00,0055,835,MADISON AVE N,122415345,23498497,ASSIS4
P170144602,9/6/2017 0:00,0742,203,CAMELIA LOOP NE,122477029,23597241,T
P170168973,10/19/2017 0:00,0946,823,NE HIGH SCHOOL RD,122682095,23625747,HARAS4
P170169083,10/19/2017 0:00,1332,10800,MILLER RD NE,121500300,24498300,DV3
P170169109,10/19/2017 0:00,1411,,CAPSTAN DR NE / DEAD END,122193374,23698898,CELL
P170169265,10/19/2017 0:00,1848,10531,MANITOU BEACH DR NE,122842396,24473899,SUSPI4
P170169286,10/19/2017 0:00,1934,,ERICKSEN AVE NE / WYATT WAY NE,122529249,23379651,T
P170171155,10/23/2017 0:00,1515,,MADISON AVE S / WOOD AVE SW,122398590,23163884,CELL
P170033495,3/1/2017 0:00,1955,7644,NE DAY RD W,121826500,25255700,PC4
P170033588,3/1/2017 0:00,2332,,MADISON AVE N / STATE HWY 305 NE,122472788,23963126,T
P170033757,3/2/2017 0:00,0937,12781,NORTH MADISON AVE NE,122441645,25215900,FOUND4
P170029625,2/22/2017 0:00,1631,265,WINSLOW WAY E,122483140,23247798,SUSPI3
P170029742,2/22/2017 0:00,2015,5900,BATTLE POINT DR NE,121315640,24137867,T
P170029748,2/22/2017 0:00,2027,11299,ARROW POINT DR NE,121095342,24676599,PC4
P170163477,10/9/2017 0:00,1357,,NE DAY RD E / STATE HWY 305 NE,122023646,25247430,FU
P170163482,10/9/2017 0:00,1400,10093,EDGECOMBE PL NE,122483445,24287299,FU
P170163765,10/10/2017 0:00,0039,625,WINSLOW WAY E,122607645,23236096,MISC3
P170165962,10/13/2017 0:00,2225,9330,NE HIGH SCHOOL RD,122364045,23666097,NARCO3
P170163787,10/10/2017 0:00,0216,238,BRIEN DR SE,122485168,23195705,PC4
P170144646,9/6/2017 0:00,0846,,KIMIKO LN / MADISON AVE N,122440262,23811001,T
P170144667,9/6/2017 0:00,0914,,KIMIKO LN / MADISON AVE N,122440262,23811001,T
P170144695,9/6/2017 0:00,0946,,KIMIKO LN / MADISON AVE N,122440262,23811001,T
P170144707,9/6/2017 0:00,0957,253,HIGH SCHOOL RD NE,122470100,23646300,T
P170144740,9/6/2017 0:00,1042,163,HIGH SCHOOL RD NW,122228011,23655407,T
P170144757,9/6/2017 0:00,1110,10889,BILL POINT CIR NE,122899846,22819846,VEHIT4
P170170670,10/22/2017 0:00,1812,9330,NE HIGH SCHOOL RD,122364045,23666097,DUI3
P170170687,10/22/2017 0:00,1842,975,LOVELL AVE NW,122293695,23547397,DV3
P170170693,10/22/2017 0:00,1856,,NE HIGH SCHOOL RD / HORIZON VIEW PL NW,122310438,23631740,UNKNO3
P170170710,10/22/2017 0:00,1953,9403,NE ERIC AVE,122388095,25045500,DV3
P170170758,10/22/2017 0:00,2115,100,RAVINE LN NE,122582466,23267077,ALRA
P170170878,10/23/2017 0:00,0625,8856,NORTH TOWN DR NE,122285424,23921294,PC4
P170169341,10/19/2017 0:00,2209,10901,SUNRISE DR NE,122692045,24609349,SUSPI3
P170169530,10/20/2017 0:00,1038,10861,NE MANITOU PARK BLVD,122933146,24590799,ASSIS3
P170169567,10/20/2017 0:00,1155,8890,MILLER RD NE,121326700,24066800,MISC3
P170169688,10/20/2017 0:00,1552,9403,CAPSTAN DR NE,122185644,23727197,NARCO3
P170169965,10/21/2017 0:00,0316,7329,NE HIDDEN COVE RD,121721431,25653587,PC4
P170168375,10/18/2017 0:00,0920,14406,KOMEDAL RD NE,121559220,25781502,PC4
P170161593,10/6/2017 0:00,0950,1323,WINTERGREEN LN NE,122611898,23672779,PC4
P170166053,10/14/2017 0:00,0249,1313,WINTERGREEN LN NE,122611917,23659883,PC4
P170161952,10/6/2017 0:00,1729,,"XY(122321972,23819751)",122321972,23819751,CELL
P170163859,10/10/2017 0:00,0919,625,E WINSLOW WAY,122604080,23235153,PC4
P170164040,10/10/2017 0:00,1424,835,MADISON AVE N,122415345,23498497,THEFT4
P170164244,10/10/2017 0:00,2028,16282,REITAN RD NE,121507043,26355199,PC4
P170141787,9/1/2017 0:00,1423,,NE HIGH SCHOOL RD / WEAVER RD NW,122172769,23657328,T
P170141802,9/1/2017 0:00,1458,,NE HIGH SCHOOL RD / WEAVER RD NW,122172769,23657328,T
P170141827,9/1/2017 0:00,1537,15593,SUNRISE DR NE,122751887,26149171,PC4
P170141876,9/1/2017 0:00,1655,,MADISON AVE N / STATE HWY 305 NE,122472788,23963126,TRAFF3
P170142130,9/2/2017 0:00,0016,11027,STATE HWY 305 NE,122340382,24644128,T
P170139871,8/29/2017 0:00,1306,625,WINSLOW WAY E,122607645,23236096,TRAFF4
P170170882,10/23/2017 0:00,0634,10337,NE VALLEY RD,122702034,24698135,PC4
P170170888,10/23/2017 0:00,0657,406,HIGH SCHOOL RD NE,122540549,23652103,PC4
P170170889,10/23/2017 0:00,0702,406,HIGH SCHOOL RD NE,122537998,23653065,PC4
P170170982,10/23/2017 0:00,1035,,HIGH SCHOOL RD NE / POLLYS LN NE,122632642,23643381,PARKI4
P170170204,10/21/2017 0:00,1753,,REITAN RD NE / STATE HWY 305 NE,121438217,26435044,DUI3
P170145259,9/7/2017 0:00,0705,,MADISON AVE N / NE NEW BROOKLYN RD,122442445,23911861,T
P170145279,9/7/2017 0:00,0751,391,WALLACE WAY NE,122529323,23512960,PC4
P170139899,8/29/2017 0:00,1355,835,MADISON AVE N,122415345,23498497,THEFT4
P170142138,9/2/2017 0:00,0030,,NE KOURA RD / STATE HWY 305 NE,122310462,24709752,T
P170140310,8/30/2017 0:00,0729,8736,NE ROSARIO PL,122152794,23621797,NOISE4
P170142670,9/2/2017 0:00,2307,12640,MANZANITA RD NE,121482140,25195063,PROWL2
P170164253,10/10/2017 0:00,2050,490,WINSLOW WAY E,122552233,23246760,PC4
P170166414,10/14/2017 0:00,2108,7771,HANSEN RD NE,121209128,23609187,ALSP
P170164262,10/10/2017 0:00,2116,8995,NE NEW BROOKLYN RD,122279647,23917803,PC4
P170164285,10/10/2017 0:00,2201,9805,NE MURDEN COVE DR,122550595,24367549,SUSPI3
P170164400,10/11/2017 0:00,0459,13915,PHELPS RD NE,122282462,25661615,PC4
P170166527,10/15/2017 0:00,0320,,MADISON AVE N / STATE HWY 305 NE,122472788,23963126,FI
P170168380,10/18/2017 0:00,0926,15446,SUNRISE DR NE,122763796,26092302,MALIC4
P170171593,10/24/2017 0:00,1007,10899,NE BILL POINT DR,122887246,22832546,FRAUD4
P170170359,10/22/2017 0:00,0015,4795,LYNWOOD CENTER RD NE,121768212,22589042,PC4
P170170589,10/22/2017 0:00,1452,,FINCH RD NE / NE HIGH SCHOOL RD,122040846,23661891,T
P170170801,10/22/2017 0:00,2339,12335,ARROW POINT LOOP NE,121248143,24985600,SUSPI3
