call_id,agency,actdate,acttime,geox,geoy,streetnbr,street,naturecode
P050000176,BIPD,1/1/2005 0:00,0844,371589662,76244886,7988,NE LOVGREEN RD W,ANIMAG
P050001890,BIPD,1/4/2005 0:00,1838,371928100,77128719,12985,PHELPS RD NE,ASSIS4
P050004311,BIPD,1/9/2005 0:00,1935,373698391,70849225,625,WINSLOW WY E,MEDIA
P050004342,BIPD,1/9/2005 0:00,2031,373168164,71190283,,MADISON AV N / MADRONA WY NE,T
P050000716,BIPD,1/2/2005 0:00,1150,371936193,76953219,,NE DAY RD E / STATE HY 305 NE,RECKL3
P050000546,BIPD,1/1/2005 0:00,2342,371066568,78207718,,NE HIDDEN COVE RD / STATE HY 305 NE,T
P050000350,BIPD,1/1/2005 0:00,1732,373905264,70637166,499,OLYMPIC DR SE,T
P050000292,BIPD,1/1/2005 0:00,1529,370529206,79640777,,ROLLING BAY WALK,PC4
P050004319,BIPD,1/9/2005 0:00,1945,373058406,74099172,,N MADISON AV NE / STATE HY 305 NE,T
P050003556,BIPD,1/8/2005 0:00,0122,373493292,72094711,406,HIGH SCHOOL RD NE,PC3
P050003671,BIPD,1/8/2005 0:00,1047,372632737,71743080,641,JANELLE PL NW,WC3
P050003842,BIPD,1/8/2005 0:00,1905,381763017,65947512,,INFO BREMERTON SUN,MEDIA
P050003853,BIPD,1/8/2005 0:00,1935,373698391,70849225,625,WINSLOW WY E,TRANS
P050003939,BIPD,1/8/2005 0:00,2229,372899940,78460973,,ELLINGSEN RD NE / PHELPS RD NE,T
P050003978,BIPD,1/8/2005 0:00,2335,370326666,72148397,,FLETCHER BAY RD NE / NE HIGH SCHOOL RD,T
P050003471,BIPD,1/7/2005 0:00,2306,369920520,72956565,,MILLER RD NE / NE NEW BROOKLYN RD,FI
P050003483,BIPD,1/7/2005 0:00,2326,373058406,74099172,,N MADISON AV NE / STATE HY 305 NE,T
P050003501,BIPD,1/7/2005 0:00,2357,373159111,70865790,,MADISON AV N / WINSLOW WY E,T
P050000169,BIPD,1/1/2005 0:00,0804,370153744,80400681,16233,REITAN RD NE,PC4
P050000167,BIPD,1/1/2005 0:00,0748,371936193,76953219,,NE DAY RD E / STATE HY 305 NE,T
P050003606,BIPD,1/8/2005 0:00,0335,374147425,71043790,340,EAGLE PL NE,FU
P050002925,BIPD,1/6/2005 0:00,2159,373058406,74099172,,SPORTSMAN CLUB RD NE / STATE HY 305 NE,T
P050003124,BIPD,1/7/2005 0:00,1056,373530804,70609368,,"WATERFRONT PARK, BI",FI
P050003135,BIPD,1/7/2005 0:00,1128,373905264,70637166,499,OLYMPIC DR SE,MVC4
P050003137,BIPD,1/7/2005 0:00,1136,373958907,70848849,,FERNCLIFF AV NE / WINSLOW WY E,T
P050003155,BIPD,1/7/2005 0:00,1217,373677703,76239658,12148,KALLGREN RD NE,MALIC4
P050005195,BIPD,1/11/2005 0:00,1550,371936193,76953219,,NE DAY RD E / STATE HY 305 NE,T
P050000027,BIPD,1/1/2005 0:00,0039,370134612,80593369,,REITAN RD NE / STATE HY 305 NE,T
P050001988,BIPD,1/4/2005 0:00,2246,370482541,75122127,,ARROW POINT DR NE / MILLER RD NE,MALIC4
P050005017,BIPD,1/11/2005 0:00,1014,371978685,68468205,4400,BLAKELY AV NE,T
P050002120,BIPD,1/5/2005 0:00,1003,371311035,75358723,11189,KILLDEER LN NE,CUSTO4
P050005079,BIPD,1/11/2005 0:00,1216,373253508,75299130,,N MADISON AV NE / NE VALLEY RD,T
P050005099,BIPD,1/11/2005 0:00,1258,373287280,76904551,,NE DAY RD E / N MADISON AV NE,T
P050002021,BIPD,1/5/2005 0:00,0055,373184218,71966567,,IHLAND WY NE / MADISON AV N,T
P050001880,BIPD,1/4/2005 0:00,1826,373173498,71468032,,KNECHTEL WY NE / MADISON AV N,T
P050004055,BIPD,1/9/2005 0:00,0441,371719478,79249217,15126,SIVERTSON RD NE,TRANS
P050004125,BIPD,1/9/2005 0:00,1046,373698391,70849225,625,WINSLOW WY E,MISC3
P050004146,BIPD,1/9/2005 0:00,1156,374008298,71674148,912,ISAAC AV NE,MISSI3
P050004317,BIPD,1/9/2005 0:00,1943,372805543,75317290,,NE KOURA RD / STATE HY 305 NE,T
P050003725,BIPD,1/8/2005 0:00,1335,372526653,72100143,785,HIGH SCHOOL RD NW,DV3
P050000153,BIPD,1/1/2005 0:00,0500,373590403,72068878,,NE HIGH SCHOOL RD / STATE HY 305 NE,FIREW3
P050003828,BIPD,1/8/2005 0:00,1836,373905264,70637166,499,OLYMPIC DR SE,DV3
P050000111,BIPD,1/1/2005 0:00,0233,373680319,70849352,,STATE HY 305 NE / WINSLOW WY E,T
P050000084,BIPD,1/1/2005 0:00,0155,373058406,74099172,,SPORTSMAN CLUB RD NE / STATE HY 305 NE,T
