call_id,agency,actdate,acttime,streetnbr,street,geox,geoy,naturecode
P09000279B5IPD,,1/5/2009 0:00,2203,,BLAKELY AVE NE / NE OLD MILL RD,121925739,23093499,T
P09000282B8IPD,,1/6/2009 0:00,0002,,NE SEABOLD CHURCH RD / STATE HWY 305 NE,121628932,25910523,T
P09000309B4IPD,,1/6/2009 0:00,1259,9422,NE LAFAYETTE AVE,122438683,26107062,FRAUD4
P09000331B0IPD,,1/6/2009 0:00,1924,220,PARFITT WAY SW,122387512,23164260,WC3
P09000504B4IPD,,1/9/2009 0:00,2028,,MADISON AVE N / WALLACE WAY NE,122433596,23514669,T
P09000516B4IPD,,1/10/2009 0:00,0047,,10TH AVE NE / NE LINCOLN RD,119699028,27405892,ASSIS3
P09000309B3IPD,,1/6/2009 0:00,1259,,NE LOVGREEN RD E / N MADISON AVE NE,122463342,24967499,WIRESU
P09000344B3IPD,,1/7/2009 0:00,0109,7666,NE HIGH SCHOOL RD,121751918,23731863,OPEN3
P09000141B2IPD,,1/3/2009 0:00,1500,1828,NE VIRGINIA CT,122434355,21640562,WC911
P09000472B8IPD,,1/9/2009 0:00,1037,241,MADISON AVE N,122429004,23305607,FU
P09000480B6IPD,,1/9/2009 0:00,1230,998,VINEYARD LN,122609033,23433470,WC4
P09000493B6IPD,,1/9/2009 0:00,1637,625,WINSLOW WAY E,122603318,23237267,FU
P09000228B5IPD,,1/5/2009 0:00,0017,8100,NE HIGH SCHOOL RD,121942160,23665596,TRAFF3
P09000236B5IPD,,1/5/2009 0:00,0659,945,HILDEBRAND LN NE,122527008,23530154,ALRA
P09000243B5IPD,,1/5/2009 0:00,0933,,NE BUCKLIN HILL RD / NE EAGLE HARBOR DR,121966131,23304962,MVC4
P09000442B7IPD,,1/8/2009 0:00,1859,625,WINSLOW WAY E,122603318,23237267,FU
P09000454B0IPD,,1/8/2009 0:00,2305,12985,PHELPS RD NE,122013608,25315249,T
P09000308B1IPD,,1/6/2009 0:00,1244,12875,MANZANITA RD NE,121483541,25278815,WIRESF
P09000457B5IPD,,1/9/2009 0:00,0028,6586,NE MAXWELL LN,121429302,24068903,HARAS4
P09000464B9IPD,,1/9/2009 0:00,0714,,NORTH TOWN DR NE / SPORTSMAN CLUB RD NE,122294142,24024195,T
P09000469B0IPD,,1/9/2009 0:00,0909,11954,MILLER RD NE,121742009,24989448,HARAS4
P09000358B3IPD,,1/7/2009 0:00,0954,,NE BUSINESS PARK LN / SPORTSMAN CLUB RD NE,122322118,24094785,T
P09000359B9IPD,,1/7/2009 0:00,1019,10832,NE COUNTRY CLUB RD,122768774,22033939,ALRA
P09000111B6IPD,,1/2/2009 0:00,2257,6679,NE HANKS LN,121580235,23205882,UNKNO2
P09000089B7IPD,,1/2/2009 0:00,1619,,REITAN RD NE / STATE HWY 305 NE,121501742,26370270,TRAFF3
P09000613B3IPD,,1/11/2009 0:00,2135,,GROW AVE NW / WYATT WAY NW,122332251,23385462,T
P09000065B3IPD,,1/2/2009 0:00,0946,428,HARBORVIEW DR SE,122601428,23170823,BLSP
P09000162B1IPD,,1/3/2009 0:00,2317,,STATE HWY 305 NE / VINEYARD LN,122556963,23457347,T
P09000539B0IPD,,1/10/2009 0:00,1359,343,WINSLOW WAY E,122506759,23252105,FOUND3
