Dispatch Call ID Number,Dispatch Code,Call Description,Priority Level of Call,Call Disposition,Crime Incident Report Written,Crime Incident ID,Address Street,Address City,Address Zip,Geographic Coordinates,Police Division,Police Beat,Time of Call,Time of Dispatch,Time of Arrival,Date of Call,Source PDF File,Source Page
,,Medical,,Transported to Hospital,No,,120 EDINBORO ST,Marlborough,,,Marlborough PD,,18:00,,,06/29/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,7
,,Police Assist,,Report,Yes,,355 BOLTON ST,Marlborough,,,Marlborough PD,,18:03,,,06/29/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,7
,,Medical,,Transported to Hospital,No,,99 PLEASANT ST Apt. #103,Marlborough,,,Marlborough PD,,18:09,,,06/29/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,7
,,Ambulance Assist,,Services Rendered- PD,No,,99 PLEASANT ST Apt. #103,Marlborough,,,Marlborough PD,,18:12,,,06/29/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,7
,,SERVE SUMMONS,,Services Rendered- PD,No,,355 BOLTON ST,Marlborough,,,Marlborough PD,,18:16,,,06/29/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,7
,,"ALARM, BURGLAR",,Building Checked/Secured,No,,28 LORD RD Apt. #130,Marlborough,,,Marlborough PD,,18:20,,,06/29/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,7
,,Well being check,,Services Rendered- PD,No,,520 LINCOLN ST,Marlborough,,,Marlborough PD,,18:20,,,06/29/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,7
,,DISTURBANCE,,Report,Yes,,47 NEWTON ST Apt. #3,Marlborough,,,Marlborough PD,,18:29,,,06/29/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,7
,,SOLICITING,,Report,Yes,,26 BOISE RD,Marlborough,,,Marlborough PD,,18:57,,,06/29/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,7
,,Well being check,,Unfounded,No,,ROUTE 495 NB ON RAMP/20WB,Marlborough,,,Marlborough PD,,19:01,,,06/29/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,7
,,"ALARM, BURGLAR",,Services Rendered- PD,No,,43 APEX DR Apt. #B,Marlborough,,,Marlborough PD,,20:23,,,06/29/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,7
,,LARCENY,,Report,Yes,,29 PLEASANT ST Apt. #(E)?,Marlborough,,,Marlborough PD,,20:41,,,06/29/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,8
,,ASSIST OTHER AGENCY,,Services Rendered- PD,No,,160 WEST MAIN ST,Marlborough,,,Marlborough PD,,20:51,,,06/29/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,8
,,Medical,,No Action Required,No,,286 WEST MAIN ST Apt. #A,Marlborough,,,Marlborough PD,,20:59,,,06/29/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,8
